Itinerary ID,Travel Date,Traveller Name,Type,Trip Length Days,Total £,Net £,VAT £,Detail,Reason for travel
C00744FX,21/09/2017,"Anderson, Barry (2210736)",Train,0,17.1,17.1,0,V007XVKY Horsforth - York,Conference - as an attendee
C007VXX9,27/02/2018,"Anderson, Barry (2210736)",Train,0,8,8,0,V008QHPP Horsforth - Harrogate,Conference - as an attendee
C00744FX,21/09/2017,"Bentley, Susan (1096721)",Train,0,17.1,17.1,0,V007XVKZ Horsforth - York,Conference - as an attendee
C007B7ST,07/11/2017,"Blackburn, David (2379048)",Train,0,154.5,154.5,0,V0084G60 Leeds - Reading,Member portfolio/Council business (Elected Members only)
C007B7ST,07/11/2017,"Blackburn, David (2379048)",Train,0,55,55,0,V0084G62 Reading - Leeds,Member portfolio/Council business (Elected Members only)
C006CMGN,03/05/2017,"Blake, Judith (1041250)",Train,0,13.15,13.15,0,V0073P0M Leeds - Manchester Piccadilly,Meeting with other public sector organisations
C006DMZS,09/05/2017,"Blake, Judith (1041250)",Train,0,157.75,157.75,0,V0074RZX Leeds - London Kings Cross,Meeting with other external bodies
C006DNCS,10/05/2017,"Blake, Judith (1041250)",Train,1,22.75,22.75,0,V0074SB9 Leeds - Liverpool Lime Street,Meeting with other public sector organisations
C006HFCJ,24/05/2017,"Blake, Judith (1041250)",Train,0,13.15,13.15,0,V0077RYB Leeds - Manchester Piccadilly,Conference - as an exhibitor/presenter
C00681ZB,15/06/2017,"Blake, Judith (1041250)",Flight,0,69.98,69.98,0,V006ZTCQ Leeds Bradford Arpt (LBA) GB - Belfast City Arpt (BHD) GB (Return) Flybe BE,Meeting with other public sector organisations
C006MSMK,15/06/2017,"Blake, Judith (1041250)",Train,0,21.5,21.5,0,V007DGN2 Menston - Manchester Piccadilly,Member portfolio/Council business (Elected Members only)
C006MDLP,04/07/2017,"Blake, Judith (1041250)",Train,0,63.5,63.5,0,V007D1WG Leeds - Birmingham New Street,Conference - as an attendee
C006MCKW,06/07/2017,"Blake, Judith (1041250)",Train,0,63.5,63.5,0,V007D0VK Birmingham New Street - Leeds,Conference - as an attendee
C006S2WS,07/07/2017,"Blake, Judith (1041250)",Train,0,13.15,13.15,0,V007K1CY Leeds - Manchester Piccadilly,Member portfolio/Council business (Elected Members only)
